1.705936930124624107e-01,1.702302666098320094e-01,1.698181237540607458e-01,1.693508286175717803e-01,1.688215308784055679e-01,1.682230830241095432e-01,1.675481923470468204e-01,1.667896067060383181e-01,1.659403301309785028e-01,1.649938589057861893e-01,1.639444201070133222e-01
1.700155260239258337e-01,1.696145284232100092e-01,1.691604182715328586e-01,1.686464020403962982e-01,1.680653183617681345e-01,1.674097790068079239e-01,1.666723453984579051e-01,1.658457379348740046e-01,1.649230723472949189e-01,1.638981112614738833e-01,1.627655092058569175e-01
1.693643897932336495e-01,1.689214282092229569e-01,1.684206099708385196e-01,1.678548079478477673e-01,1.672165939596917950e-01,1.664984061662701520e-01,1.656927515486668612e-01,1.647924387416594971e-01,1.637908330869609352e-01,1.626821183727858167e-01,1.614615388189015732e-01
1.686320512656987736e-01,1.681423585473074134e-01,1.675897404092809573e-01,1.669667798312590712e-01,1.662658495978762141e-01,1.654793080082955503e-01,1.645997273598206467e-01,1.636201479540117243e-01,1.625343461027552450e-01,1.613370957779260706e-01,1.600243935544174156e-01
1.678100598149843414e-01,1.672685424960540235e-01,1.666587521411291573e-01,1.659730497892999423e-01,1.652037045963241357e-01,1.643431180774028166e-01,1.633840759647618435e-01,1.623200170725758451e-01,1.611453032724182721e-01,1.598554657193653750e-01,1.584473964426531822e-01
1.668899778252584676e-01,1.662912954972498580e-01,1.656187865930910108e-01,1.648646864418679137e-01,1.640212860388696181e-01,1.630811819719286127e-01,1.620375446492425819e-01,1.608843901744127225e-01,1.596168358741374971e-01,1.582313129702490051e-01,1.567257104591590344e-01
1.658636652582247129e-01,1.652023436543687829e-01,1.644615393804638726e-01,1.636334888037146440e-01,1.627106592504796445e-01,1.616860169092758370e-01,1.605532985078592656e-01,1.593072686511564917e-01,1.579439414496071892e-01,1.564607435546676306e-01,1.548566031761693940e-01
1.647236050240427629e-01,1.639941815029067607e-01,1.631796512723085735e-01,1.622724076411583560e-01,1.612652709552128694e-01,1.601517603481595886e-01,1.589263499889446984e-01,1.575846913191388809e-01,1.561237837437594311e-01,1.545420802867785715e-01,1.528395261685029372e-01
1.634632410069710162e-01,1.626604371167862106e-01,1.617670972248579919e-01,1.607759493062657363e-01,1.596803507587945259e-01,1.584745435912886247e-01,1.571538735374465590e-01,1.557149597462040014e-01,1.541558070477227482e-01,1.524758598605086002e-01,1.506760072173655707e-01
1.620772895227426125e-01,1.611962019545496727e-01,1.602195255184293843e-01,1.591405066694966397e-01,1.579532077699066506e-01,1.566527227543258460e-01,1.552353415302929196e-01,1.536986606494575580e-01,1.520416445347714807e-01,1.502646470196446760e-01,1.483694074104506544e-01
1.605619866937669504e-01,1.595982844491954378e-01,1.585344999720870451e-01,1.573645634187924025e-01,1.560833655502817663e-01,1.546869162535884079e-01,1.531724492775119739e-01,1.515384836302169913e-01,1.497848555018609640e-01,1.479127342428164238e-01,1.459246314980841286e-01
